Názov suroviny v surovom stave,Bielkov.,Sacharidy,Tuky
Vaječný bielok,11.2,0.8,0.3
Vaječný žĺtok,16.3,0.7,32.1
Baranie stehno,12.9,0,11
Bažant,19.8,0.2,14.8
Bravčové stehno,21,0,7
Bravčový bôčik,8.2,0,50.4
Bryndza polotučná,20,19,8.7
Bryndza tučná,19.8,1.7,17.6
Celozrnný chlieb,11.6,51.7,1.6
Celozrnný chlieb podpoliansky,11.5,76,1
Cottage Cheese (čerstvý syr) - Rajo,13,3,4
Eidam,29.2,1.8,14.6
Ementál,25.8,2.1,25.6
Encián (Hermelín),20.2,1.6,20.2
Fazuľa,21.4,61.6,1.6
Filé z tresky,16.5,0,0.4
Granola,10.1,59,18.3
Holubie mäso,22.1,0,0
Hovädzie predné,20.7,0,9.8
Hovädzie zadné,20.8,0,6.5
Hrach,23.8,60.2,1.4
Chlieb grahamový,11.6,51.7,1.6
Chlieb pšeničný biely,8,56.7,1
Jahňacina,12.9,0,13.6
Jogurt biely,5.7,9.7,4.5
Jogurt ovocný,4.8,18.7,3.8
Kačka ; hus,12,0,17
Kapor,14.4,0,3.8
Kefír,3.3,1.7,3.6
Králik domáci,14.8,0,5.5
Krupica,9.7,75.6,0.7
Kura - broiler,15,0,4.1
Kyslá smotana 12% tuku,3.2,4.2,12
Ladvinky bravčové,15.5,0.8,4.4
Ladvinky hovädzie,13.5,0.8,7.3
Makrela (bez vnútorností),11.4,0,7.3
Makrela (pečená),16,3.5,14
Makrela - udenáč,14,0,10
Mlieko nízkotučné,3.2,4.6,0.5
Mlieko polotučné,3.1,4.7,1.5
Morka,15,0.2,15
Mozoček,10.1,0.8,8.2
Niva,19.2,0.8,25.7
Olomoucké syrečky,30,2,0.8
Ostatné teľacie s kosťami,14.4,0.3,4.8
Ovsené vločky,16.3,68,3.6
Pečeň bravčová,19,2,4.5
Pečeň hovädzia,19,3.3,4.1
Pečené zemiaky,2.5,50,0.5
Piškóty detské OPAVIA,8.3,77.8,1.1
Prepelica,24.3,0,0
Pstruh,10,0,0.8
Romadur,18.1,2.4,17.2
Ryža,7.6,79,0.6
Sardinky v oleji (vo vlastnej šťave),21.1,0,27
Sardinky v tomate,15,2.4,15
Sleď - udenáč,22.2,0,12.9
Sleď - zavináč,19.8,0,14.8
Slezina,16.9,1,4
Sliepka,11.5,0.2,16
Soja,49.6,30.9,2
Srdce bravčové,16.4,0.4,4.6
Srdce hovädzie,16,0.6,3.5
Srnec,13.5,0.3,1.2
Sušené plnotučné mlieko,25,38,25
Syr - Žervé,12.4,1.8,15
Syr tavený 30% tuku v sušine (t.v.s.),19.6,0.8,11.4
Syr zlato,25.7,2.5,13.8
Šľahačka 33% tuku,2.4,2.7,33
Šošovica,25,59.5,1
Špagety,11,77,1
Šťuka,18.8,0,0
Tavený ementál 35% tuku v sušine (t.v.s.),21.2,1.2,23.4
Tavený smotanový syr 45% tuku v sušine (t.v.s.),15.9,1.2,18
Teľacie stehno,21.8,0.5,3
Tofu,14.4,10.5,5.2
Tvaroh Danone jemný,14,2.4,0.6
Tvaroh mäkký (netučný),19.4,4.8,0.3
Tvaroh Rajo nízkotučný,17.5,4.2,2.5
Úhor,18.6,0,0
Vnútornosti priemer (ostatné),16.3,1,7.9
Zahustené mlieko nesladené (v plechovke),8.3,12,9
Zahustené mlieko sladené (v plechovke),10,53.3,9.5
Zajac,16.8,0.2,0.8
Rajčiny,0.9,4,0.23
Uhorka šalátová,0.82,2,0.18
