názov potraviny,tuky (g),bielk. (g),sach. (g)
Ananás,0.2,0.4,10.1
Egreš,0.5,0.9,10.6
Arónia,0.7,1.7,17
Avokádo,19.5,1.9,1.9
Banán,0.3,0.3,23
Čučoriedky,0.7,0.8,14.7
Broskyne,0.2,0.8,12.5
Brusnice,0.8,0.4,13.7
Čerešne,0.5,0.9,14.7
Citróny,0.5,0.7,10.5
Datle,0.1,1.5,31.3
Drienky,0.2,0.8,14
Fígy,0.3,1.3,9.5
Granátové jablko,0.2,1.3,11.8
Grapefruit,0.3,0.5,9.6
Grenadila,0.3,2.8,7.5
Hrozno,0.5,0.7,18.2
Hruška,0.4,0.5,15.8
Jablko,0.4,0.4,14.4
Jahody,0.6,0.9,8.8
Jarabiny,0.3,1,22.6
Dula,0.4,0.4,12.4
Kiwi,0.5,1,9.1
Klementinky,0.1,0.9,8.7
Liči,0.5,0.9,16
Limetky,0,0.4,10.6
Maliny,0,1,11.6
Mandarinky,0.3,0.9,10.6
Mango,0.3,0.6,16
Maracuja,0,0.6,9
Melón,0.1,0.5,6.5
Melón vodný,0.3,0.6,5
Marhule,0.3,1,13.4
Mirabelky,0.2,0.7,12.8
Moruše,0,1.3,8.1
Nektarinky,0.1,1.2,8
Černice,0.8,1.2,12
Papája,0.1,0.5,9
Pomaranč,0.3,0.9,11.7
Rakyník,3.9,1.2,5
Rýbezle biele,0.3,1.3,5.6
Rýbezle červené,0.3,1.1,13.8
Rýbezle čierne,0.3,1.3,16.4
Ryngle,0.2,0.8,16.6
Šípky,0.4,3.6,22
Slivky,0.3,0.8,16.2
Višne,4.4,0.8,12.6
